UTDANNINGTYPEAHEAD,UTDANNING
Fot,Fotofag+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Ste,Steinerskolen+tre%C3%A5rig+allmennfaglig+linje
Bib,Bibelskole+to%C3%A5rig+forkynner-+og+lederkurs+(bibelseminar)
Can,Cand.theol.-+utdanning+seks%C3%A5rig
Siv,Sivilingeni%C3%B8rutdanning+fysikk
Adj,Adjunktutdanning+kultur-+spr%C3%A5k-+og+samfunnsfag+fire%C3%A5rig
Mar,Markedsf%C3%B8ring+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Bac,Bachelor+ingeni%C3%B8rfag+uspesifisert+linje+tre%C3%A5rig
Med,Mediegrafikerfaget+Vg3+(gammel+ordning)
Sek,Sekret%C3%A6rutdanning+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Sig,Signalmont%C3%B8rkurs+jernbane
Idr,Idrettsfag+grunnkurs
Idr,Idrettsfag+Vg2
Idr,Idrettsfag+Vg3
Bac,Bachelor+eiendomsmegling+tre%C3%A5rig
Sj%C3%B8,Sj%C3%B8fartsfag+VK+I
Sku,Skuespillerutdanning+tre%C3%A5rig
Sal,Salg+og+service+VK+I
Teg,Tegne-+og+malerutdanning+videreg%C3%A5ende+avsluttende+utdanning
For,Forkurs+for+fremmedspr%C3%A5klige
Res,Restaurant-+og+matfag+Vg1
Aut,Automatisering+Vg2
Can,Cand.med.+vet.-utdanning
Rad,Radiografutdanning+tre%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+transport%C3%B8konomi+og+logistikk+to%C3%A5rig
All,Allmenn-%2Fgrunnskolel%C3%A6rerutdanning+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Ple,Pleie-+og+omsorgsfag+andre+uspesifiserte+videreg%C3%A5ende+grunnutdanning
Mag,Mag.art.-utdanning+rumensk
Dip,Diplomkandidat++varehandel
Siv,Sivilingeni%C3%B8r+petroleumsteknologi
Sos,Sosiologiske+fag+uspesifiserte+h%C3%B8yere+niv%C3%A5
Mas,Maskinarbeiderfaget+VK+II
Rei,Reiselivsfag+uspesifiserte+videreg%C3%A5ende+grunnutdanning
Mar,Marin-+og+ferskvannsbiologi+uspesifisert+h%C3%B8yere+niv%C3%A5
Apo,Apotekfag
Hel,Helse-+sosial-+og+idrettsfag+andre
Pos,Postale+fag+videreg%C3%A5ende+grunnutdanning
Tek,Teknisk+fagskole+linje+for+EDB
For,Forfatterutdanning+lavere+niv%C3%A5
Hje,Hjelpepleiefag+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
H%C3%B8g,H%C3%B8gskolekandidat+markedsf%C3%B8ring+to%C3%A5rig
For,Forsikringseksamen+to%C3%A5rig
Mar,Markedsf%C3%B8ring+uspesifisert+videreg%C3%A5ende+grunnutdanning
Vid,Videreutdanning+for+hjelpepleiere
Mek,Mekaniske+fag+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
M%C3%B8b,M%C3%B8belsnekkerutdanning+videreg%C3%A5ende+avsluttende+utdanning
