UTDANNINGTYPEAHEAD,UTDANNING
Vid,Videreutdanning+for+ingeni%C3%B8rer+vegtrafikkfag
Teg,Tegne-+grafikk-+maler-+og+skulpt%C3%B8rutdanning+uspesifisert+forskerutdanning
Mas,Master+dansevitenskap+to%C3%A5rig
Can,Cand.philol.-utdanning+polsk
Bac,Bachelor+kristendom+ledelse+og+menighetsutvikling+tre%C3%A5rig
Fag,Fagskoleutdanning+kristen+tro+og+tjeneste+ett%C3%A5rig
Mas,Master+Ibsen+studies+to%C3%A5rig
Sam,Samfunns%C3%B8konomiske+fag+andre+uspesifiserte+forskerutdanning
Mas,Master+telemedicine+and+E-health+to%C3%A5rig
Mas,Master+of+Science+electronic+systems+and+instrumentation+to%C3%A5rig
Sam,Samfunnsfag+og+juridiske+fag+l%C3%A6rerutdanning.+uspesifisert+videreg%C3%A5ende+grunnutdanning
Mag,Mag.art.-utdanning+sosiologiske+fag
Gru,Grunnskolel%C3%A6rerutdanning+med+musikk+5.-10.+trinn+fire%C3%A5rig
Bac,Bachelor+milj%C3%B8+og+ressursfag+samfunnsvitenskapelig+retning+tre%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+kjemi%2F%C3%B8konomi+tre%C3%A5rig
Mas,Master+fremmedspr%C3%A5k+i+skolen+(tysk%2Fengelsk)+to%C3%A5rig
Dis,Dispasj%C3%B8reksamen
Bac,Bachelor+portaldesign+tre%C3%A5rig
Ter,Terapeutiske+fag+andre+uspesifiserte+forskerutdanning
And,Andre+servicefag+andre+uspesifiserte+h%C3%B8yere+niv%C3%A5
Fab,Fabrikasjon+og+utvinning+andre+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Mar,Maritim+elektrikerfaget+Vg3
Mas,Master+lektorutdanning+realfag+5.+%C3%A5ret
Fag,Fagskoleutdanning+helseadministrasjonssekret%C3%A6r+halv%C3%A5rig
Tol,Tollfag+uspesifiserte+lavere+niv%C3%A5
Mas,Master+innovasjon+og+kunnskapsutvikling+to%C3%A5rig
Mas,Master+profesjonsstudier+to%C3%A5rig
Hov,Hovedfagskandidat+botanikk
Ph.,Ph.d.-program+ut%C3%B8vende+musikk
Bac,Bachelor+finsk+tre%C3%A5rig
Mas,Master+comparative+social+work+ett%C3%A5rig
Jur,Juridiske+fag+andre+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Fys,Fysioterapi+uspesifisert+forskerutdanning
Mas,Master+kunstkritikk+og+kulturformidling+to%C3%A5rig
Lat,Latvisk+lavere+niv%C3%A5
Mag,Mag.art.-utdanning+baltisk+spr%C3%A5kvitenskap
Med,Medier+og+kommunikasjon+Vg1+(studieforberedende)
Vid,Videreutdanning+for+helse-+og+sosialsektoren+konflikth%C3%A5ndtering
Utd,Utdanning+i+indoiranske+keltiske+semittiske+og+asiatiske+spr%C3%A5k+uspesifisert+lavere+niv%C3%A5
Fis,Fiske+og+havbruk+andre+uspesifiserte+forskerutdanning
Vet,Veterin%C3%A6r+uspesifisert+lavere+niv%C3%A5
Dr.,Dr.philos.-utdanning+apotekfag
Nor,Norsk+videreutdanning+for+l%C3%A6rere
Dr.,Dr.polit.-utdanning+idrett
Mas,Master+of+Science+odontologi+to%C3%A5rig
Odo,Odontologi+uspesifisert+h%C3%B8yere+niv%C3%A5
Fag,Fagskoleutdanning+kreftomsorg+og+lindrende+pleie+ett%C3%A5rig
Fag,Fagskoleutdanning+Macdesign+ett%C3%A5rig
Mas,Master+teknologi+naturvitenskapelige+og+tekniske+fag+uoppgitt+faggruppe+to%C3%A5rig
F%C3%B8r,F%C3%B8rskole-%2Fbarnehagel%C3%A6rerutdanninger
Fag,Fagskoleutdanning+filmproduksjon+1+ett%C3%A5rig
Fag,Fagskoleutdanning+trafikkflyger+-+helikopter+1+5-%C3%A5rig
Ph.,Ph.d.-program+industriell+design
Fag,Fagskoleutdanning+webkandidat+ett%C3%A5rig
Fag,Fagskoleutdanning+storfehold+og+driftsledelse+ett%C3%A5rig
Mag,Mag.scient.-utdanning+statistikk
Mas,Master+of+Science+petroleumsteknologi+fem%C3%A5rig
Fen,Fengselsfag+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Sam,Samfunnsfag+videreutdanning+for+l%C3%A6rere
Fag,Fagskoleutdanning+kurs+for+mesterbrevskandidater+kulde-+og+varmepumpemont%C3%B8r+ett%C3%A5rig
Nat,Naturfag+videreutdanning+for+l%C3%A6rere
Mas,Master+advanced+computing+technologies+and+systems+-+IMPACTS+to%C3%A5rig
Mas,Master+teknologi+entrepren%C3%B8rskap+to%C3%A5rig
Fag,Fagskoleutdanning+utstillingsdesign
Mas,Master+agro%C3%B8kologi+to%C3%A5rig
Sam,Samfunnsgeografi+uspesifisert+videreg%C3%A5ende+grunnutdanning
Rel,Religionsutdanning+annen+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Fol,Folkedansinstruksjon+lavere+niv%C3%A5
Sko,Skogsmaskinf%C3%B8rerfaget+VK+II
Bac,Bachelor+matematisk+finans+tre%C3%A5rig
Dr.,Dr.philos.-utdanning+litteraturvitenskap
Vid,Videreutdanning+i+sykepleie+dermatologisk+sykepleie
Mod,Modellbyggerfaget+Vg3
Fag,Fagskoleutdanning+moteindustri
Pri,Prim%C3%A6rn%C3%A6ringsfag+andre+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Fys,Fysiske+fag+uspesifiserte+lavere+niv%C3%A5
Jor,Jordbruk+andre+uspesifiserte+h%C3%B8yere+niv%C3%A5
Mas,Master+tradisjonskunst+to%C3%A5rig
Mas,Master+teknologisk+innovasjon+og+entrepren%C3%B8rskap+to%C3%A5rig
Mas,Master+teknologi+system+engineering+to%C3%A5rig
Vid,Videreutdanning+i+sykepleie+smerte+og+smertelindring
Pri,Prim%C3%A6rn%C3%A6ringsfag+andre+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Kun,Kunstvitenskap+lavere+niv%C3%A5
Kj%C3%B8,Kj%C3%B8ret%C3%B8y+Vg2+grunnkompetanse
Fag,Fagskoleutdanning+interi%C3%B8rfag+ett%C3%A5rig
Lic,Lic.philos.-utdanning+historisk-filosofiske+fag
Fly,Flynavigat%C3%B8rutdanning
Mas,Master+landskapsarkitektur+to%C3%A5rig
Mas,Master+Statistics+to%C3%A5rig
Dr.,Dr.polit.-utdanning+spesialpedagogikk
Sek,Sekret%C3%A6rutdanning+uspesifisert+h%C3%B8yere+niv%C3%A5
Dyr,Dyrepleie+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Vid,Videreutdanning+for+ingeni%C3%B8rer+brannteknikk
Ski,Skinn-+og+pelsduodjifaget+Vg3
Stu,Studiekompetanse
Can,Cand.musicae.-utdanning+orgelkunnskap
Nuk,Nukle%C3%A6rmedisin+spesialistutdanning+for+leger
Tol,Tollfag+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Mag,Mag.scient.-utdanning+zoologi
Ute,Utefag+videreutdanning+for+l%C3%A6rere
Spr,Spr%C3%A5kvitenskapelig+utdanning+uspesifisert+forskerutdanning
Ver,Vernepleiefag+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Mik,Mikrobiologi+og+cellebiologi+uspesifiserte+h%C3%B8yere+niv%C3%A5
Mas,Master+organisasjon+og+ledelse+for+offentlig+sektor+1+5-%C3%A5rig
Ind,Industrioppm%C3%A5lingsfaget+Vg3
Mas,Master+RAB-fag+(radiografi+audiografi+bioingeni%C3%B8r)+to%C3%A5rig
Mas,Master+arbeidslivsstudier+to%C3%A5rig
Inf,Informasjons-+og+datateknologi
Rel,Religion+livssyn+og+etikk+videreutdanning+for+l%C3%A6rere
Kro,Kropps%C3%B8ving+videreutdanning+for+l%C3%A6rere
Dr.,Dr.techn.-utdanning+arkitektur
Rei,Reindrift+VK+II
Can,Cand.philol.-utdanning+japansk
IKT,IKT-servicefag+Vg2+grunnkompetanse
Ph.,Ph.d.-program+russisk
Bac,Bachelor+kristendomskunnskap+og+idrett+tre%C3%A5rig
Hov,Hovedfagskandidat+ergoterapi
Kri,Kriminologi+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Mas,Master+risikostyring+og+sikkerhetsledelse+1+5-%C3%A5rig
Pla,Plastmekanikerfaget+Vg3
Mas,Master+industriell+matproduksjon+1+5-%C3%A5rig
Hju,Hjulutrustningsfaget+Vg3
Zoo,Zoologiske+fag+uspesifiserte+videreg%C3%A5ende+grunnutdanning
San,Sanskrit+lavere+niv%C3%A5
Can,Cand.philol.-utdanning+g%C3%A6lisk
Dr.,Dr.philos.-utdanning+pedagogikk
Dr.,Dr.agric.-utdanning+tekniske+fag+uspesifiserte
Mas,Master+of+Philosophy+fransk
Mas,Master+of+Philosophy+tysk
Ove,Overflateteknikk+Vg2+grunnkompetanse
Fag,Fagskoleutdanning+make-up+artist+halv%C3%A5rig
Fag,Fagskoleutdanning+psykisk+helsearbeid+ett%C3%A5rig
Can,Cand.real.-utdanning+naturvitenskap+og+tekniske+fag+uoppgitt+faggruppe
Sam,Samfunnsmedisin+spesialistutdanning+for+leger
Fag,Fagskoleutdanning+kontor+salg+og+serviceledelse+ett%C3%A5rig
Lic,Lic.philos.-utdanning+apotekfag
Des,Design+og+trearbeid+Vg2+grunnkompetanse
Can,Cand.scient.-utdanning+teknologisk+orientert+studium
Byg,Bygg+og+anlegg+uspesifisert+forskerutdanning
Fag,Fagskoleutdanning+nettverksadministrasjon+-+Microsoft+ett%C3%A5rig
Fag,Fagskoleutdanning+nettverksadministrasjon+-+sikkerhet+ett%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+geomatikk+tre%C3%A5rig
Dr.,Dr.techn.-utdanning+elektroniske+fag
Erg,Ergoterapi+uspesifisert+h%C3%B8yere+niv%C3%A5
Bly,Blyglassh%C3%A5ndverkerfaget+Vg2+og+Vg3+s%C3%A6rl%C3%B8p
Ver,Vernepleiefag+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Dr.,Dr.ing.-utdanning+geofag+og+petroleumsteknologi
Siv,Sivilingeni%C3%B8rutdanning+samfunnssikkerhet
Arb,Arbeidsdirektoratets+etatskole+aspirantkurs
Gla,Glassliperfaget+VK+I+og+VK+II+s%C3%A6rl%C3%B8p
Hum,Humanistiske+og+estetiske+fag
Mas,Master+landskapsplanlegging+to%C3%A5rig
Mas,Master+teknologi+risikostyring+to%C3%A5rig
Apo,Apotekteknikk+uspesifisert+lavere+niv%C3%A5
Bac,Bachelor+ut%C3%B8vende+eurytmipedagogutdanning+fire%C3%A5rig
Mas,Master+fiskehelse%2Fakvamedisin+fem%C3%A5rig
Dr.,Dr.scient.-utdanning+landbruksvitenskap
Fag,Fagskoleutdanning+anleggsgartnertekniker+1+5-%C3%A5rig
Dr.,Dr.philos.-utdanning+odontologi
Par,Parkettproduksjonsfaget+VK+II
H%C3%B8g,H%C3%B8gskolekandidat+lysdesign+to%C3%A5rig
Gru,Grunnskolel%C3%A6rerutdanning+med+matematikk+5.-10.+trinn+fire%C3%A5rig
Fag,Fagskoleutdanning+foto+og+informasjon
Utd,Utdanning+i+afrikanske+spr%C3%A5k+uspesifisert+lavere+niv%C3%A5
And,Andre+servicefag+andre+uspesifisert+utdanningsgruppe+forskerutdanning
Mas,Master+psykologiske+fag+to%C3%A5rig
Byg,Byggteknikk+Vg2+grunnkompetanse
Kon,Kontorfag+andre+uspesifiserte+p%C3%A5bygging+til+vidererg%C3%A5ende+utdanning
F%C3%B8r,F%C3%B8rskole-%2Fbarnehagel%C3%A6rerutdanning+uspesifisert+forskerutdanning
Mat,Matematikk+og+statistikk+andre+uspesifiserte+videreg%C3%A5ende+grunnutdanning
Ann,Annet
Pro,Profileringsdesignfaget+Vg3
Fag,Fagskoleutdanning+operativ+ledelse+ett%C3%A5rig
Can,Cand.philol.-utdanning+bosnisk+kroatisk+og+serbisk
Ph.,Ph.d.-program+sosialt+arbeid
Bac,Bachelor+digital+etterforskning+tre%C3%A5rig
Fil,Filosofi+og+etikk+uspesifisert+videreg%C3%A5ende+grunnutdanning
Fag,Fagskoleutdanning+%C3%B8konomimedarbeider+halv%C3%A5rig
Hel,Helseservicefag+uspesifiserte+forskerutdanning
Erg,Ergoterapi+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Mag,Mag.art.-utdanning+romansk+filologi
Tan,Tannhelsefag+andre+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Fag,Fagskoleutdanning+eiendomsservice+halv%C3%A5rig
Can,Cand.san.-utdanning+flerfaglig
Mas,Master+of+Science+team+sport+management+to%C3%A5rig
Sko,Skogbruk+andre+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Ph.,Ph.d.-program+samfunnssikkerhet
Br%C3%B8,Br%C3%B8nnfaget+mekaniske+kabeloperasjoner+Vg3
Ph.,Ph.d.-program+marin+teknikk
Mas,Master+havbruk+to%C3%A5rig
Mas,Master+teknologi+mikrosystemteknologi+to%C3%A5rig
Mas,Master+internasjonale+milj%C3%B8studier+to%C3%A5rig
Ort,Ortopediteknikkfaget+Vg3
Mas,Master+of+Philosophy+development+studies+to%C3%A5rig
Fag,Fagskoleutdanning+kurs+for+mesterbrevskandidater+anleggsgartner+ett%C3%A5rig
Bra,Brannvernfag+uspesifiserte+lavere+niv%C3%A5
Ph.,Ph.d.-program+milj%C3%B8vitenskap
Byg,Bygg+og+anlegg+uspesifisert+h%C3%B8yere+niv%C3%A5
Mag,Mag.scient.-utdanning+geofysikk
Fag,Fagskoleutdanning+kroniske+sykdommer+ett%C3%A5rig
Mik,Mikrobiologi+og+cellebiologi+uspesifisert+forskerutdanning
Ur-,Ur-+og+instrumentmaker+Vg2
Byg,Byggtapetsererfaget+VK+II
H%C3%B8g,H%C3%B8gskoleingeni%C3%B8rutdanning+bioproduksjon+og+foredling+tre%C3%A5rig
Utd,Utdanning+i+klassiske+spr%C3%A5k+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Can,Cand.real.-utdanning+pedagogikk
Mas,Master+of+Science+reliability+availability+maintainability+and+safety+to%C3%A5rig
Gal,Galvanis%C3%B8rfaget+VK+II
Lic,Lic.odont.-utdanning+odontologi
Str,Strikkefaget+Vg3
Lic,Lic.philos.-utdanning+geofag
%C3%98ko,%C3%98konomi+og+administrasjon+l%C3%A6rerutdanning+uspesifisert+videreg%C3%A5ende+Norsk+standard+for+utdanningsgruppering
Sos,Sosialfag+andre+uspesifiserte+forskerutdanning
Mas,Master+of+Philosophy+quantum+chemistry
Han,Handel+uspesifisert+forskerutdanning
Mas,Master+grunnskolens+norskfag+to%C3%A5rig
Geo,Geologi+uspesifisert+lavere+niv%C3%A5
Gar,Gartneri+og+hagebruk+andre+uspesifiserte+h%C3%B8yere+niv%C3%A5
Fag,Fagskoleutdanning+IT-prosjekt+IT-support+tekniker+halv%C3%A5rig
Mas,Master+idrett%2Fkropps%C3%B8ving+ett%C3%A5rig
Mas,Master+lektorutdanning+for+trinn+8-13+uspesifisert+fem%C3%A5rig
Bac,Bachelor+medieutvikling+og+journalistikk+tre%C3%A5rig
Mas,Master+gender+and+development+to%C3%A5rig
Vid,Videreutdanning+for+l%C3%A6rere+uspesifisert+(4+%C3%A5r+el.+mindre)
Lic,Lic.philos.-utdanning+biologiske+fag
Dr.,Dr.ing.-utdanning+elektroniske+fag
Rel,Religionsutdanning+annen+uspesifisert+forskerutdanning
Mag,Mag.scient.-utdanning+matematiske+fag
Sam,Samferdsel
Fag,Fagskoleutdanning+olje-+og+gassbehandling+to%C3%A5rig
Dr.,Dr.philos.-utdanning+veterin%C3%A6rmedisin
Org,Orgelbyggerfaget+Vg3
Fag,Fagskoleutdanning+BIM+konstruksjon+ett%C3%A5rig
Ph.,Ph.d.-program+samfunnsvitenskapelig+fakultet
Hum,Humanistiske+og+estetiske+fag+andre
Mas,Master+lesevitenskap+to%C3%A5rig
Br%C3%B8,Br%C3%B8nnfaget+elektriske+kabeloperasjoner+Vg3
Lic,Lic.techn.-utdanning+maskintekniske+fag
Pri,Prim%C3%A6rn%C3%A6ringsfag+andre+uspesifiserte+h%C3%B8yere+niv%C3%A5
Dr.,Dr.polit.-utdanning+sykepleiefag
Luf,Luftfartsfag+uspesifiserte+videreg%C3%A5ende+grunnutdanning
Teg,Tegne-+grafikk-+maler-+og+skulpt%C3%B8rutdanning+uspesifisert+h%C3%B8yere+niv%C3%A5
Mas,Master+klinisk+sjelesorg+to%C3%A5rig
Ark,Arkitektur+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Mas,Master+tropical+ecology+and+management+of+natural+resources+to%C3%A5rig
Ene,Energi%C3%B8konomisering+lavere+niv%C3%A5
Mas,Master+of+Philosophy+visual+antrophology
Mas,Master+pedagogiske+tekster:+L%C3%A6ring+-+kommunikasjon+-+design+to%C3%A5rig
Vid,Videreutdanning+for+ergoterapeuter
Dat,Dataelektronikerfaget+Vg3+grunnkompetanse
Spr,Spr%C3%A5kvitenskapelig+utdanning+uspesifisert+videreg%C3%A5ende+grunnutdanning
Sal,Salmakerfaget+Vg3
Mas,Master+ledelse+to%C3%A5rig
Tan,Tannhelsefag+andre+uspesifiserte+videreg%C3%A5ende+grunnutdanning
Fag,Fagskoleutdanning+reiseliv+ett%C3%A5rig
Idr,Idrettsfag
M%C3%B8b,M%C3%B8beltapetsererfaget+Vg3
Gar,Gartneri+og+hagebruk+uspesifisert+lavere+niv%C3%A5
Sal,Salg+service+og+sikkerhet+Vg2+grunnkompetanse
Dr.,Dr.scient.-utdanning+astronomi
Ph.,Ph.d.-program+tysk
Odo,Odontologi+uspesifisert+forskerutdanning
Fag,Fagskoleutdanning+musikkdesign+to%C3%A5rig
Pre,Pressefotografutdanning+to%C3%A5rig
Fly,Flykomponentavionikerfaget+VK+III
Dr.,Dr.polit.-utdanning+medier+og+kommunikasjon
Dat,Data+og+elektronikk+Vg2+grunnkompetanse
Ele,Elenergi+Vg2+grunnkompetanse
Dr.,Dr.art.-utdanning+drama%2Fteater
Tan,Tannpleiefag+uspesifiserte+h%C3%B8yere+niv%C3%A5
Bed,Bedrifts%C3%B8konomi
Mas,Master+culture+environment+and+sustainability+to%C3%A5rig
Mas,Master+community+care+to%C3%A5rig
Mas,Master+l%C3%A6ring+to%C3%A5rig
Mas,Master+multimedia+og+l%C3%A6ringsteknologi+to%C3%A5rig
Lan,Landbruk+og+gartnern%C3%A6ring+Vg2+grunnkompetanse
Hus,Husflid+brukskunst+og+industridesign+uspesifisert+forskerutdanning
Mas,Master+innovasjon+og+ledelse+to%C3%A5rig
Can,Cand.polit.-utdanning+media+og+pressefag
Mas,Master+arktisk+naturbruk+og+landbruk+to%C3%A5rig
Dr.,Dr.legis.-utdanning
Fag,Fagskoleutdanning+Frelsesarmeens+offiserutdanning
Kon,Konfeksjons-+og+tekstilkunstutdanning+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Mas,Mask%C3%B8r-+og+parykkmakerfaget+Vg2+og+Vg3+s%C3%A6rl%C3%B8p
Dr.,Dr.scient.-utdanning+naturvitenskapelige+fag+h%C3%A5ndverksfag+og+tekniske+fag
Mas,Master+kinesisk+to%C3%A5rig
Kir,Kiropraktor+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Mat,Matematikk+og+statistikk
Hje,Hjelpepleiefag+uspesifiserte+h%C3%B8yere+niv%C3%A5
Fag,Fagskoleutdanning+dans+to%C3%A5rig
Mas,Master+teknologi+petroleumsteknologi+to%C3%A5rig
Sik,Sikkerhet+andre+uspesifiserte+h%C3%B8yere+niv%C3%A5
Fag,Fagskoleutdanning+journalistikk+to%C3%A5rig
Ph.,Ph.d.-program+logistikk
Tra,Trafikklederutdanning+jernbane
Mas,Master+of+Philosophy+Linguistics
Utd,Utdanning+i+germanske+og+romanske+spr%C3%A5k+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Imm,Immunologi+og+transfusjonsmedisin+spesialistutdanning+for+leger
Ph.,Ph.d.-program+idrett
Sko,Skogbruk+andre+uspesifiserte+videreg%C3%A5ende+grunnutdanning
Mas,Master+molekyl%C3%A6rmedisin+to%C3%A5rig
Vid,Videreutdanning+optikk
Til,Tilleggsutdanning+farmas%C3%B8yter
Mas,Master+klinisk+farmasi
Mas,Master+of+Philosophy+helsevern
Psy,Psykologiske+fag+andre+uspesifiserte+videreg%C3%A5ende+grunnutdanning
Kul,Kulturutdanning+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Ger,Geriatri+spesialistutdanning+for+leger
Mas,Master+klinisk+helsearbeid+to%C3%A5rig
Bib,Bibel-+misjon%C3%A6r-+og+menighetsarbeid+uspesifisert+videreg%C3%A5ende+grunnutdanning
Fil,Filigranss%C3%B8lvsmedfaget+Vg3
Vid,Videreutdanning+radiografer+angiografi
Fag,Fagskoleutdanning+trafikkflyger+-+helikopter+ett%C3%A5rig
Ped,Pedagogisk+arbeid
Spe,Spesialutdanning+for+offentlig+ansatte+funksjon%C3%A6rer+videreg%C3%A5ende+grunnutdanning
Fag,Fagskoleutdanning+sekret%C3%A6r+halv%C3%A5rig
Bac,Bachelor+dyrepleie+tre%C3%A5rig
Ros,Rosemaling+videreg%C3%A5ende+grunnutdanning
Can,Cand.polit.-utdanning+helse-+og+sosialpolitikk
H%C3%B8g,H%C3%B8gskolekandidat+fagoversetter+fransk+fire%C3%A5rig
Bio,Biologi
Ph.,Ph.d.-program+produktutvikling+og+materialteknikk
Sam,Samfunns%C3%B8konomi+uspesifisert+forskerutdanning
Bot,Botaniske+fag+uspesifiserte+videreg%C3%A5ende+grunnutdanning
Fag,Fagskoleutdanning+digital+markedskommunikasjon+to%C3%A5rig
Vet,Veterin%C3%A6rfag+andre+uspesifiserte+h%C3%B8yere+niv%C3%A5
Psy,Psykologi+uspesifisert+videreg%C3%A5ende+grunnutdanning
Med,Medie-+og+informasjonsfag+andre+uspesifiserte+forskerutdanning
Kir,Kirkevergeutdanning+fire%C3%A5rig
Mas,Master+teknologi+offshoreteknologi+fem%C3%A5rig
Mar,Markedsf%C3%B8ring+av+fisk+og+fiskeprodukter+lavere+niv%C3%A5
Gru,Grunnskolel%C3%A6rerutdanning+med+samfunnsfag+5.-10.+trinn+fire%C3%A5rig
Lic,Lic.philos.-utdanning+litteraturvitenskap
Mas,Master+management+of+natural+resources+and+sustainable+agriculture+to%C3%A5rig
Fag,Fagl%C3%A6rerutdanning+trearbeid+grunnleggende+to%C3%A5rig
Mas,Master+operautdanning+to%C3%A5rig
Luf,Luftfartsfag+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Nor,Norsk
Dr.,Dr.scient.-utdanning+spesialpedagogikk
Spe,Spesialpedagogikk+uspesifisert+forskerutdanning
L%C3%A6r,L%C3%A6rerutdanninger+og+utdanninger+i+pedagogikk+annet++(mer+enn+4+%C3%A5r)
Vet,Veterin%C3%A6rfag
Bil,Bildende+kunst+og+kunsth%C3%A5ndverk
Fag,Fagskoleutdanning+%C3%B8konomi+og+ledelse+ett%C3%A5rig
Tra,Transport+og+logistikk+Vg2+grunnkompetanse
Hum,Humaniora+og+estetikk+l%C3%A6rerutdanning+uspesifisert+forskerutdanning
Bac,Bachelor+teknisk+bygningsvern+og+restaurering+tre%C3%A5rig
Sta,Statsvitenskapelige+fag
San,Sang-+og+musikkutdanning+uspesifisert+forskerutdanning
Hel,Helse-+sosial-+og+idrettsfag+andre+uspesifiserte+forskerutdanning
Mas,Master+mediedesign+to%C3%A5rig
Bac,Bachelor+yrkesfagl%C3%A6rerutdanning+service+og+samferdsel+tre%C3%A5rig
Ind,Industritekstilfaget+garnframstilling+Vg3
Sta,Statsvitenskapelige+fag+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Lic,Lic.philos.-utdanning+sosialantropologi
Pol,Politifag+uspesifiserte+h%C3%B8yere+niv%C3%A5
Geo,Geofag+og+geologi+forskerutdanning
Lic,Lic.philos.-utdanning+juridiske+fag
Del,Delkompetanse
Eng,Engelsk+videreutdanning+for+l%C3%A6rere
Sta,Statens+operaskole
Kri,Kristendom+og+annen+religionsutdanning+uspesifisert+forskerutdanning
Can,Cand.musicae.-utdanning+musikkterapi
Erg,Ergoterapi+uspesifisert+forskerutdanning
Agr,Agroteknikk
Han,Handelsl%C3%A6rerutdanning+NHH
Pat,Patologi+spesialistutdanning+for+leger
Sak,Saksbehandling
Can,Cand.philol.-utdanning+egyptisk
Fag,Fagpr%C3%B8ven+for+leger+utdannet+utenfor+EU%2FE%C3%98S+og+Sveits
Pro,Produksjon+av+tre+papir+plast+og+glass+uspesifisert+lavere+niv%C3%A5
Bac,Bachelor+spr%C3%A5k+og+interkulturell+kommunikasjon+tre%C3%A5rig
Fag,Fagskoleutdanning+spesialeffektutdanning+ett%C3%A5rig
Fag,Fagskoleutdanning+Macdesign+halv%C3%A5rig
Lic,Lic.theol.-utdanning+religionsfag
H%C3%B8g,H%C3%B8gskolekandidat+markedskommunikasjon+to%C3%A5rig
Fag,Fagskoleutdanning+design+ett%C3%A5rig
Fag,Fagskoleutdanning+kurs+for+mesterbrevskandidater+glassfaget+ett%C3%A5rig
Bib,Bibel-+misjon%C3%A6r-+og+menighetsarbeid+og+predikantutdanning+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Fys,Fysiske+og+kjemiske+fag
Lic,Lic.med.vet.-utdanning
Med,Medier+og+kommunikasjon+Vg3+grunnkompetanse+(studieforberedende+gammel+ordning)
Fag,Fagskoleutdanning+hydraulikk+to%C3%A5rig
Fag,Fagskoleutdanning+IT-prosjekt+IT-support+konsulent+ett%C3%A5rig
Mag,Mag.art.-utdanning+arabisk
Mag,Mag.art.-utdanning+folkloristikk+(folkeminnevitenskap)
Byg,Bygg-+og+anleggsfag
Ark,Arkeologi+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Lic,Lic.philos.-utdanning
Mas,Master+psykososialt+arbeid+med+barn+og+unge+to%C3%A5rig
Apo,Apotekfag+andre+uspesifiserte+lavere+niv%C3%A5
Vet,Veterin%C3%A6rfag+andre+uspesifiserte+lavere+niv%C3%A5
Han,Handel+og+markedsf%C3%B8ring+andre+uspesifiserte+forskerutdanning
R%C3%A5d,R%C3%A5dgivning+videreutdanning+for+l%C3%A6rere
Hov,Hovedfagskandidat+filmvitenskap
Dr.,Dr.polit.-utdanning+pedagogikk
Dr.,Dr.polit.-utdanning+samfunns%C3%B8konomiske+fag
Mas,Master+of+Philosophy+undervisningsfag
Sam,Samfunns%C3%B8konomiske+fag+andre+uspesifiserte+videreg%C3%A5ende+grunnutdanning
Can,Cand.musicae.-utdanning+samspill%2Fensembleledelse
Vid,Videreutdanning+for+l%C3%A6rere+annen+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
For,Formgivingsfag+videreg%C3%A5ende+grunnutdanning
Fag,Fagskoleutdanning+kontorfag+med+IT+halv%C3%A5rig
Med,Medisin+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Inf,Informasjonsmodellering+uspesifisert+lavere+niv%C3%A5
Mas,Master+arkitektur+to%C3%A5rig
Bac,Bachelor+duodji+tre%C3%A5rig
Fag,Fagskoleutdanning+lyd-+og+musikkproduksjon+1+ett%C3%A5rig
Ph.,Ph.d.-program+biovitenskap
Can,Cand.polit.-utdanning+demografi
Bac,Bachelor+kreativ+markedskommunikasjon+tre%C3%A5rig
Bac,Bachelor+facility+management+tre%C3%A5rig
Sta,Statsvitenskapelige+fag+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
F%C3%B8r,F%C3%B8rskole-%2Fbarnehagel%C3%A6rerutdanninger
