KOMPETANSETYPEAHEAD,KOMPETANSE
Eta,Etablererkurs+til+sammen+26+uker
Etn,Etnisk+dans
Ewe,Ewe
Exa,Exam.+oecon.
Exa,Examen+philosophicum+(forberedende+pr%C3%B8ver+(vekttall+varierer))
Exc,Excel
Fab,Fabrikktr%C3%A5ler
Fag,Fag%2Fomr%C3%A5der
Fag,Fagbrev%2Fsvennebrev
Fag,Faglig+vitenskapelig+og+teknisk+tjenesteyting+(bransje)
Fag,Fagniv%C3%A5er
Fan,Fang
Fan,Fangst
Fan,Fangst+generelt
Fan,Fante
Far,Farmas%C3%B8ytisk+arbeid
Far,Farsi+(persisk)
Fas,Fasaderenhold
Fas,Fasadest%C3%B8p
Fei,Feierfaget+(AMO)
Fej,Fejli%2FKurdisk
Fen,Fengselsarbeid
Fer,Ferdigmatproduksjon
Fer,Ferskvarer
Fib,Fiberoptikk
Fid,Fidjiansk
Fil,Filetering
Fil,Filipino%2FTagalog
Fil,Filmfotografering
Fil,Filosofi
Fil,Filosofi+-+generelt
Fin,Finans-+og+forsikringsvirksomhet+(bransje)
Fin,Finmekanisk+arbeid
Fin,Finmekanisk+arbeid+-+generelt
Fin,Finsk
Fis,Fiske+generelt
Fis,Fiske+mm
Fis,Fiske+og+fangst
Fis,Fiske+og+fangst+(AMO)
Fis,Fiske+fiskeoppdrett+og+fiskeindustri+(bransje)
Fis,Fiskeindustrifag+(AMO)
Fis,Fiskemelfabrikkarbeid
Fis,Fiskemottak
Fis,Fiskeoppdrett
Fis,Fiskeoppdrett+generelt
Fis,Fiskeproduksjon
Fis,Fiskeproduksjon+mm
Fis,Fiskeribiologi
Fje,Fjellboring
Fje,Fjellrensk
Fje,Fjernstyringsanlegg
Fje,Fjernstyrt+boring
Fje,Fjernsynsdekorering
Fle,Flekking
Fly,Flyfag+-+Avionikk+(AMO)
Fly,Flyfag+-+Flytekniske+fag+(AMO)
Fly,Flyfotografering
Fly,Flytekran
Fol,Folkemuseum
Fon,Fon
For,Fordelingsanlegg
For,Forgyllerfaget+(AMO)
For,Forlagsarbeid
For,Forlagsarbeid+generelt
For,Forlagsbransjen
For,Formasjonsvurdering
For,Formgivingsfag+(AMO)
For,Formgivingsfag+-+Harde%2Fplastiske+materialer+(AMO)
For,Formgivingsfag+andre+(AMO)
For,Formgivingsfag-+Strikking+(AMO)
For,Forretningsmessig+tjenesteyting+(bransje)
For,Forsikring
For,Forsikringsarbeid
For,Forsikringsbransje
For,Forskning
For,Forsyningsanlegg
For,Forvaltningsarbeid+-+Fylkeskommunalt
For,Forvaltningsarbeid+-+Kommunalt
For,Forvaltningsarbeid+-+Statlig
For,Forv%C3%86relse
Fot,Fotografering
Fot,Fotografering+mm
Fot,Fotpleie
Fot,Fotterapeut+(AMO)
Fra,Fra+alle+VKI+i+studieretningen+(AMO)
Fra,Fransk
Fra,Fransk+Patois
Fre,Frekvensomformer
Fri,Frisisk
Fri,Fris%C3%B8rfag+(AMO)
Fri,Fritidsutstyr
Fru,Fruktdyrking
Fru,Fruktprodukter
Fry,Fryseisolering
Fuk,Fukien
Ful,Ful%2FFula%2FFulfulde
Ful,Fulbe
Fun,Fundamentering
Fys,Fysikk
Fys,Fysioterapi
F%C3%86r,F%C3%86r%C3%B8yisk
F%C3%B8r,F%C3%B8rtrykk+(AMO)
GIS,GIS
Ga%2F,Ga%2FGan
Gah,Gah+(Se+GA)
Gal,Galisisk
Gar,Garderobevakttjeneste
Gar,Garnfiske
Gar,Gartnerarbeid
Gar,Gartneri+og+hagebruk+(AMO)
Gar,Garverifaget+(AMO)
Gar,Garving
Gas,Gass
Gen,Generell+studiekompetanse
Geo,Geografi
Geo,Geografi+-+generelt
Geo,Geologi
Geo,Geologi+generelt
Geo,Georgisk%2FGruzinsk
Gip,Gipsmakerarbeid
Gip,Gipsmakerfaget+(AMO)
Gk+,Gk+helse+og+sosialfag+(AMO)
Gk+,Gk+salg+og+service+(AMO)
Gla,Glassfagarbeid
Gla,Glassfaget+(AMO)
Gla,Glassh%C3%A5ndverkerfaget+(AMO)
Gla,Glasst%C3%B8y
Gra,Grader+og+yrkestitler
Gra,Grafisk+arbeid
Gra,Grafisk+arbeid+generelt
Gra,Grafisk+formgiving
Gra,Grafisk+industri
Gra,Grafisk+produksjon+(AMO)
Gra,Gravemaskin
Gra,Gravering
Gra,Graving
Gra,Grav%C3%B8rfaget+(AMO)
Gre,Gresk
Gru,Grunnarbeid
Gru,Grunnarbeid+mm
Gru,Grunnfag+(20+vekttall)
Gru,Grunnleggende+IT-forst%C3%A5else
Gru,Gruveindustri
Gr%C3%B8,Gr%C3%B8nlandsk
Gr%C3%B8,Gr%C3%B8nnsaksprodukter
Gr%C3%B8,Gr%C3%B8ntanlegg
Gua,Guarani
Guj,Gujarati
Gul,Gull-+og+s%C3%B8lvarbeid+(AMO)
Gul,Gull-+og+s%C3%B8lvvarer
Gul,Gulvsliping
G%C3%A5r,G%C3%A5rdsarbeid
G%C3%A5r,G%C3%A5rdsarbeid+mm
G%C3%86l,G%C3%86lisk
G%C3%86l,G%C3%86lisk+(Skotsk)
HMS,HMS+-+arbeid
Hag,Hagebruk
Hag,Hagebruk+mm
Hai,Haitisk
Hak,Hakka%2FKejia
Hal,Halvsemesteremne+(5+vekttall)
Han,Handel
Har,Hardlodding
Has,Hassania%2FZenaga
Hau,Hausa
Hav,Havfiske
Hav,Havnekran
Heb,Hebraisk
Hei,Heilpraktikk
Hei,Heimevernet
Hel,Heliguard
Hel,Helikopterdekk
Hel,Helse+og+omsorg
Hel,Helse-+og+sosialfag+(AMO)
Hel,Helse-+og+sosialtjenester+(bransje)
Hel,Helsekost
Hel,Helseservicefag+(AMO)
Her,Herero
Her,Hermetisering
Hin,Hindi
His,Historie
His,Historie+-+generelt
His,Historisk+museum
Hju,Hjullaster
Hom,Hom%C3%B8opati
Hor,Horisontal+boring
Hot,Hotell+og+restaurantarbeid
Hot,Hotell-+og+n%C3%86ringsmiddelfag+(AMO)
Hot,Hotell-+og+n%C3%86ringsmiddelfag+andre+(AMO)
Hov,Hovedfag
Hov,Hovedfag+(40+vekttall+i+tillegg+til+cand.+mag.)
Hov,Hovedfagsgrader
Hud,Hudpleier+(AMO)
Hul,Huldt+&+Lillevik
Hum,Humanistiske+fag
Hum,Humanit%C3%86rt+arbeid
Hum,Humanit%C3%86rt+og+religi%C3%B8st+arbeid
Hva,Hvalfangst
Hvi,Hviterussisk
Hyd,Hydraulisk+utstyr
Hyd,Hydrografi
Hyg,Hygiene+og+skj%C3%B8nnhetspleie
Hyg,Hygiene+og+skj%C3%B8nnhetspleie+-+generelt
H%C3%A5n,H%C3%A5ndbokbinderfaget+(AMO)
H%C3%A5n,H%C3%A5nddrevne+kraner
H%C3%A5n,H%C3%A5ndinnbinding
H%C3%A5n,H%C3%A5nds%C3%B8m
H%C3%A5n,H%C3%A5ndverk
H%C3%86r,H%C3%86ren
H%C3%B8g,H%C3%B8gskoleingeni%C3%B8r
H%C3%B8g,H%C3%B8gskolekandidat
H%C3%B8y,H%C3%B8yspenningsanlegg
IKT,IKT-driftsfag+(AMO)
IT,IT
Ibo,Ibo%2FIgbo
Idr,Idrett
Idr,Idrettsfag+(AMO)
Idr,Idrettsfag+andre+(AMO)
Idr,Idrettsfag+m.m.+(AMO)
Iki,Ikiribati%2FGilbertes
Ind,Ind.tekstilfaget+farging+trykking+og+etterbehandling+(AMO)
Ind,Indonesisk
Ind,Industri+(bransje)
Ind,Industriell+n%C3%86ringsmiddelproduksjon+(AMO)
